Filter Wave Flux F_er
SDSS:g' 0.48199694202385923 0.004220000002533197 0.00016
SDSS:r' 0.6246977662012919 0.006060000043362379 0.00083
SDSS:i' 0.7634912086792645 0.007579999975860119 0.00031
2MASS:J 1.239016606050587 0.01119363655082204 0.0016554457
2MASS:H 1.6494770729023385 0.017772727222605186 0.002734959
2MASS:Ks 2.1637853338145083 0.027144444899426565 0.0024433583
:=3.6um 3.599986286565157 0.06199999898672104 0.0062
WISE:W1 3.350010705106716 0.044940000772476195 0.0021047567
WISE:W2 4.600019302768061 0.06733999848365783 0.0029068883
WISE:W3 11.559823320737253 0.15939999520778655 0.0044721365
WISE:W4 22.090668189521775 0.3880000114440918 0.015033297
IRAS:25 23.880234028994742 0.5249999761581421 0.053
IRAS:60 61.849860328856415 0.878000020980835 0.079
IRAS:100 101.94941780588996 1.409999966621399 0.16
:=1.4GHz 214137.47 0.0027799999807029963 0.00021213204
"W1 (WISE)" 3.3533831991051453 0.0449 0.0010044988800391964
"W2 (WISE)" 4.60510688172043 0.0664 0.0013692457777915547
"W3 (WISE)" 11.574998378378377 0.167 0.0027205503119773393
"W4 (WISE)" 22.0435630882353 0.35966666666666663 0.008205479876277804
"5.8 microns (IRAC)" 5.732169369024856 0.08535000000000001 0.00016726027621644058
"12 microns (IRAS)" 11.99169832 0.216 0.04836000413564912
"25 microns (IRAS)" 24.982704833333333 0.47 0.03483518336394973
"60 microns (IRAS)" 59.958491599999995 0.865 0.12242957159118054
"100 microns (IRAS)" 99.93081933333333 1.145 0.19859506539690255
"24 microns (MIPS)" 23.60570535433071 0.351 0.00029210443337957063
"4.89 GHz (VLA)" 61307.251124744376 0.00085 0.00011
1.4GHz 214137.47 0.0041 0.0006
